,t,m
RHBDL2,-12.8105882077297,-19.2158823115945
PLEKHH2,-10.7944532890424,-16.1916799335636
HEG1,-9.78811216368099,-14.6821682455215
CLU,-9.76161800506857,-14.6424270076029
FHL1,8.950191248692,13.425286873038
RBP4,-8.52907367408848,-12.7936105111327
ANKRD44,-8.39786366855842,-12.5967955028376
RNF144B,-7.99407328343955,-11.9911099251593
DEPTOR,-7.78672532554703,-11.6800879883205
DHRS3,-7.72421509948521,-11.5863226492278
ADGRL2,-7.51086506039557,-11.2662975905934
FOXA2,7.45319168041172,11.1797875206176
SQOR,-7.45285885555668,-11.179288283335
PERP,-7.32961858973834,-10.9944278846075
PXK,-7.27518134714711,-10.9127720207207
PRDX2,-7.11139059215146,-10.6670858882272
THY1,7.00894990412091,10.5134248561814
FZD5,-6.87524548306107,-10.3128682245916
ADAM19,6.68569990333169,10.0285498549975
THBS3,-6.66833953184091,-10.0025092977614
F2RL2,-6.65593025948043,-9.98389538922065
KIAA0513,-6.54285493758131,-9.81428240637196
G0S2,7.39260238957723,11.0889035843658
MITF,-6.35762515334614,-9.53643773001921
ITGB2,6.34795809227203,9.52193713840805
TLE6,-6.28916774166271,-9.43375161249407
FUCA1,-6.21639723696598,-9.32459585544897
TMEM92,-6.21198726214236,-9.31798089321354
MFGE8,-6.19399126281244,-9.29098689421866
TLN2,6.17727782131404,9.26591673197106
CNNM1,-6.93232192662559,-10.3984828899384
SYT9,-6.89138335329991,-10.3370750299499
DDX58,6.04629270745511,9.06943906118267
ENPP1,-6.03017338322191,-9.04526007483286
SMAD9,-5.95731728778541,-8.93597593167812
GALNT18,-5.78901106265655,-8.68351659398482
REEP5,-5.77776554879296,-8.66664832318944
EDN1,-5.74697851509845,-8.62046777264768
DENND11,-5.73573369671192,-8.60360054506788
TMEM25,-5.64686820888558,-8.47030231332837
BCL2A1,-5.63039241090066,-8.44558861635099
KIF16B,-5.55439774670233,-8.3315966200535
GALM,-5.52652120409367,-8.28978180614051
PID1,-5.51527723539078,-8.27291585308617
STOM,-5.47948740104947,-8.21923110157421
