,PANC1.WT.Rep1,PANC1.WT.Rep2,PANC1.WT.Rep3,PANC1.FOXA2KO.Rep1,PANC1.FOXA2KO.Rep2,PANC1.FOXA2KO.Rep3
NOC2L,10.052587628699,11.9491228361368,12.057774339673,12.3122910743164,12.1399180582366,11.4942054886604
PLEKHN1,7.53511545794393,8.1259932655639,8.71488004981844,8.04819604065159,8.29015382858593,8.6212394082733
PERM1,6.28124229411828,6.42458151213646,6.58966845211071,6.29328541921778,6.48613619373226,6.77534440632816
ISG15,10.9382515484471,11.4690812195551,11.425414580049,11.5499860529846,11.3714637686793,11.1781571442344
AGRN,6.95633539009606,7.19610801342847,7.52255015427819,7.06154881471661,7.4855336723824,7.07155505475709
C1orf159,9.54622379588378,9.78872136921303,9.79458854259534,9.8508302065039,9.98806892558871,9.9653567530924
SDF4,7.94705409166622,8.06670452805679,8.58649495718737,8.01375763198752,8.42762732038892,7.64937155862807
B3GALT6,7.79038931575456,8.17734666203218,7.60857877563253,7.83462859062061,7.65732270076959,7.38506125469954
C1QTNF12,9.2003646479279,10.3904847587375,8.08443266375203,10.1585889870778,10.0598398679591,7.67671225677596
UBE2J2,8.05549789829698,9.03498410892196,9.20602472172881,9.16692225525109,9.96644505284032,8.53796455877549
PUSL1,9.87024035415899,10.0845962398267,10.0529516259326,10.1585889870778,10.1128247411678,10.0170779824648
INTS11,11.8276226356225,11.4713690639229,11.5974618247431,11.5802098795065,11.494197470002,11.6930759559756
CPTP,8.3507628903884,9.04730524722696,8.79351243006229,8.91655861738434,8.94301492775575,8.07630581687657
DVL1,7.05463620647957,7.22893036766201,7.23763168838961,7.0388940812703,7.39593428461554,7.51192029271364
MXRA8,8.52205595771006,8.80399054624266,7.54454299303919,8.47261268369669,8.88162344386375,7.95872043106591
AURKAIP1,12.6345581973974,12.7608039741208,12.7899791895552,12.9069266840849,12.7379229069612,12.6698626667904
CCNL2,8.41878850716048,8.39543418737435,8.41006142210118,8.24412418428612,8.21878598369656,9.26359412992513
MRPL20,12.3147054342968,12.8243815379498,12.8156411407106,12.845427224602,12.7880925753781,12.5842465391485
VWA1,8.50824409809299,8.8644275605247,8.7341463643181,8.4556077740646,9.14627117737019,8.07116388453922
ATAD3C,6.58741829378635,6.53369170353457,6.31047554148646,6.4037934055295,6.41494000825719,6.54254157462055
ATAD3B,6.82878751466694,7.94686710555487,7.78521669604252,8.30235148018175,8.52382329853032,7.86675216860559
ATAD3A,6.81763151700752,7.44920515586223,7.37489006238957,7.52801621537318,7.81081552695804,7.48896838828007
SSU72,12.0150964074378,12.1090099787049,11.866962103321,12.123661805579,12.1457706939101,11.8942691873471
CDK11B,8.32341735300935,8.17734666203218,8.7341463643181,8.58243398956709,8.86502399459406,8.30376739425171
SLC35E2B,9.73149656675774,9.33045891783714,9.2513039018036,9.51762478745321,9.33648747445576,9.73278302218494
CDK11A,7.91600688954594,7.45846100052552,8.14806295942772,7.70392549309125,8.1977294867338,7.93627213141809
SLC35E2A,8.91909787345948,8.1025693315426,7.58046871962576,7.95446797657629,8.1977294867338,8.40532582375182
NADK,8.0649638980569,7.88642935161672,7.67654722992753,7.67483274295649,7.75425064984696,8.13662064045119
GNB1,10.3618954759745,10.2200105669933,10.5786205576931,10.3328329450103,10.3988593157571,10.3424585581649
PRKCZ,6.66416074948758,6.40556645318346,6.31047554148646,6.36788969824801,6.58674740308957,6.36904476580757
FAAP20,8.43347940429851,8.71024377008264,9.07615872457521,8.925849114424,9.30975058162401,8.44958691807134
SKI,6.53389078289773,6.68329067049372,6.9050904752789,6.64788544113104,6.7402557182708,6.72385009912593
MORN1,6.390680733456,6.6989942789403,6.71131371428307,6.72086199921,6.76909043366567,6.45050115364456
RER1,11.5320257380838,11.5069321105842,11.8724065217683,11.7304780591669,11.4608933476009,11.4641186580785
PEX10,8.00229467738911,9.41608696969047,9.08368850778817,9.02428068310386,9.28250881398627,8.13168960408083
PANK4,8.89010150743892,9.78320694148588,9.5374445392524,9.54199649440392,9.51519835504367,9.05282779157555
TNFRSF14,8.0696737084688,7.53044470640989,8.14326672670436,7.61482580436326,7.71032231987854,8.25471787066119
PRXL2B,7.39953040524451,7.92700118108864,8.01786595889836,7.68216111478013,7.4941950057732,7.07155505475709
PRDM16,7.80175733213396,7.6803671780643,7.79747945193215,7.6600633700311,7.64958985007469,7.95872043106591
TPRG1L,8.02672144023945,7.76486338761239,7.74145714281196,7.80136452569186,7.50280465127675,7.57866328077066
WRAP73,10.1436275783311,9.96304957282346,9.79611715124189,9.84431221019706,10.0048346199873,10.2589963728736
SMIM1,7.58859970542478,8.68286490601239,7.76662488649634,8.67349473600567,8.45450507807846,7.56409605291259
LRRC47,8.08371158360818,8.26962626387554,8.41802558928612,8.29280866844862,8.49821767383947,7.593084891429
CEP104,7.54867354920935,7.46765784229611,7.46989095852678,7.20072080276604,7.4941950057732,7.40971260911619
DFFB,7.26637415556511,7.19610801342847,7.26438209432736,7.46143068949474,7.41430485686757,6.98671437516917
C1orf174,10.6180631686095,10.9063751666701,10.7851548088264,11.0807630691262,11.1645666633381,10.6113367813674
NPHP4,7.65904585001445,8.08474837405151,7.99142267233243,8.29758796445623,7.84507449611863,7.94191703724978
KCNAB2,9.21531906538744,8.91908588542259,9.22203458629024,9.10283500957742,9.18690814795595,9.0658117119149
CHD5,7.74988067124232,8.01745429737172,8.40606279084642,8.09287129963512,8.09328677706488,8.32119806777616
RPL22,12.9706485856422,13.0300456811399,12.8864135527105,13.0627879926033,13.0648534200239,12.873914239921
RNF207,7.67149271229421,7.51278268256719,7.67654722992753,7.48676174978937,7.32973016038597,8.34695545977878
ICMT,8.0696737084688,8.40024529826588,8.41802558928612,8.29280866844862,8.52382329853032,8.1017441247088
ACOT7,11.3494507612373,12.2284556577447,11.9159408466364,12.347285863712,12.3545987636354,11.9527541453992
HES2,7.96738714376565,7.77230502127776,7.35012916349456,7.25086615858372,7.31024296500685,7.04032152257244
PLEKHG5,6.5201927535725,6.55110068129071,7.04537239250247,6.9806502473045,7.23988714238319,7.06121882517363
NOL9,8.78519549509437,9.17911856021997,8.66889877762674,8.80685968792374,9.17887180910239,8.52297827125277
ZBTB48,9.73594788775486,9.32540893476171,8.97721552630802,8.98630230446671,9.1842343391738,9.82883307400151
KLHL21,8.54591303293025,7.84468346692933,7.77284881512352,8.19373927977736,8.05866968229142,8.66626515745053
PHF13,7.35392433830017,7.87264783849365,8.02309694851242,8.20395801550995,8.39562365713863,7.38506125469954
THAP3,9.71955879196014,9.82316496377087,9.40346376728505,9.75851859986569,9.74847202026842,9.62286798566423
DNAJC11,10.9504326731622,11.0418507083895,10.8238862667166,11.0800697531253,10.8043327380757,10.6489233653901
CAMTA1,9.48583786716462,9.93182355686943,9.99955078327723,10.0789336221038,10.0258948022487,9.61228677073682
VAMP3,12.6704640202741,12.5738381817986,12.4638397687867,12.5715143809116,12.5108150773932,12.3300765539012
PER3,6.67656348313798,7.00720465197318,7.16377315947886,7.0948775588522,7.19808770353032,7.02975825729108
PARK7,14.1206754707594,14.0250544080099,14.0187091105828,14.0497131309607,14.0061622728954,13.9656951857015
ERRFI1,12.5456519875023,11.6292827846725,12.1790165114187,11.4823320060982,11.731999843793,13.3773114360751
SLC45A1,9.80112033144885,9.40176414293242,9.99423353744921,8.84653634037092,8.90454641152686,9.98599508040407
RERE,9.08413847968275,9.40416117713247,9.49666135870332,9.22828330275816,9.2186131941297,9.03445172540363
ENO1,16.6865044498663,16.9801394197138,17.1711489454402,17.0549540821639,16.9896459585042,16.8788761879418
GPR157,7.40699319968161,7.22893036766201,7.08592858995441,7.16977508281759,6.89215736785717,6.54254157462055
H6PD,9.21106216872327,8.49324435647276,8.36545483921648,8.35373764549777,8.22920009635565,8.46535103599405
SPSB1,8.0790474523143,8.00487448229185,7.7350960028056,8.35373764549777,8.38634782341006,7.92491562384241
SLC25A33,6.62629970818015,6.8613140662676,6.96067078099616,6.83045121619322,7.01761265795342,6.88489675715986
TMEM201,7.06410772400767,7.49490175473866,7.44672074018607,7.71825478653331,7.98683933370382,6.9423466984557
PIK3CD,7.37690757112071,7.87264783849365,7.81568034043962,7.42694889137727,7.81081552695804,7.83069420985942
CLSTN1,8.67823983583831,8.87828750154151,9.03013557847842,8.83999887868152,9.10445631276702,8.75230833418796
CTNNBIP1,6.72513495032763,7.39238729599155,6.60370226750762,6.93230069986759,7.11067033701729,6.65678490214128
LZIC,10.8703650172686,10.5099212275531,10.5362594207978,10.5872348170043,10.6078349531529,10.7212805135488
RBP7,10.2292619640214,9.66225062694048,8.79657030357376,8.96843083342449,8.82781866771583,9.20845903074822
UBE4B,10.2176384721793,10.5762579004377,10.3056568413496,10.4544431443642,10.4285345220264,10.1077559651286
KIF1B,8.51861536951487,8.77464911461041,8.73733255018626,8.5060327607376,8.47214936642128,8.50402380881978
PGD,12.141547349431,12.9537598075709,12.8295163881117,12.8622598601455,12.8338063917802,12.1217440667747
CENPS,8.25062366444205,8.96201980869657,8.75315877673273,9.1272025569329,8.9556131531831,8.6387236964036
