,t,m
AHR,0.343728951200476,0.536802922896561
AR,0.578988897165661,-1.34445888862602
ARID1A,0.179555593241672,-0.507681847402243
ARID1B,0.833037132727211,-1.80467290754007
ARID2,1.575057641171,0.869354547190478
ARID3A,-0.50468704051875,0.687432066642726
ARNT,0.305964569438588,0.4789976976407
ARNTL,-1.41076301531169,0.57636555520009
ASCL1,0.973671735337039,0.470215651874566
ATF1,0.474876904632153,1.52923181737632
ATF2,-0.22631083192206,-0.6930137704801
ATF3,-0.484691294544389,-0.945230338695879
ATF4,-1.52802502041442,1.23876931886098
ATF6,0.730453611670319,-1.97450468145471
ATF7,1.50526363351036,-1.01933276595879
BACH1,-0.560470676060393,1.93109502229168
BACH2,-0.231431256995167,0.562020375486993
BATF,-0.891602309612594,-0.188596622505884
BCL11A,0.354662681125956,-0.882523397903225
BCL3,-2.27745360472536,1.09552378957976
BCL6,1.21237358365077,-1.09739942095944
BHLHE22,1.14512364140726,0.871524763763046
BHLHE40,1.1600081136018,0.145247713980501
CEBPA,-1.0603926417676,0.469375996517332
CEBPB,0.0319096287938471,-0.865627387668186
CEBPD,-0.980249981248029,1.95540758084422
CEBPG,1.27047148726594,-2.01397796331575
CLOCK,-0.241414686187537,-0.410384027924359
CREB1,0.754418638673153,0.115241028392551
CREB3,-0.12522237068902,-0.355118461441125
CREB3L1,-1.10827753004791,-0.789171909212141
CREM,0.771891178024553,-0.374889234733938
CTCF,-0.0512620529305025,1.11102523751334
CTCFL,-1.3884853911779,-0.0504444017362493
CUX1,0.945019748452585,0.781573273201732
DNMT3B,-0.733309755599761,-0.551615486742729
DUX4,2.79137093637374,-2.68108992115641
E2F1,-3.081835213172,2.81082579968541
E2F2,-3.01609432492873,2.4767611528345
E2F3,-1.40310865655521,1.62215446402312
E2F4,-5.30603228668255,4.46696898022469
E2F5,-1.89570160432696,1.21124096311425
E2F6,1.27404432525188,-1.14227888909507
E2F7,-0.253617142308836,2.86816887772438
EBF1,-0.698289108374951,0.0345962249538474
EGR1,-1.47051577304345,0.683490573816337
EHF,-0.527835115088652,-0.0953984792248896
ELF1,-0.0116762291938287,0.411571724173217
ELF3,0.720388633347207,-1.07798129713478
ELF5,-0.572878589436436,-0.785452159629385
ELK1,-0.580598101091289,0.937731196511301
ELK4,1.11542447098276,-1.42319142300116
EOMES,0.765465683310459,-0.40697861012355
EPAS1,-2.34434103335219,1.49027309895038
ERG,-0.370831043534686,0.923613297597251
ESR1,-0.274585971074946,1.49643317077691
ESR2,0.647802581136133,-0.373183260899373
ESRRA,-0.175308238432043,-0.614215377965399
ETS1,-0.594125036534102,0.980950893656753
ETS2,-0.184800895252894,0.258175205425092
ETV1,-0.24115326063818,-0.42874601870552
ETV4,-0.800304959831805,1.30763213505565
FLI1,2.67004117532292,0.136094116921111
FOS,-0.611354331808901,0.518732993890404
FOSL1,0.199438627973893,-0.207106415949236
FOSL2,-0.106924413749651,0.316552819669276
FOXA1,0.678268135405483,-0.714421419673128
FOXJ2,0.847125349138848,0.112649806331306
FOXK2,-0.465011033977238,1.20848471153818
FOXL2,-0.323813018284082,1.5377918745148
FOXM1,-2.51737598922788,1.74944324138133
FOXO1,0.490362275257913,-1.3181019985478
FOXO3,1.24426389350757,-0.874231353280512
FOXO4,-0.402460501631622,-1.8786333479382
FOXP1,-1.32743155931578,1.07720722489724
FOXP2,1.14917365205738,-0.203041250112565
GABPA,0.165620981765457,0.0601145247137372
GATA1,1.7603472815167,0.532581827223284
GATA2,0.323046807580181,0.832751746309143
GATA3,1.11497596640207,-0.979284665682449
GATA4,0.589602534724023,-0.0244736856781495
GATA6,1.57633605572507,1.6442688569238
GATAD1,-0.979452909307018,1.25878016368971
GFI1B,0.556648729108512,1.20453968160015
GLI2,-0.479933060191651,-0.0610378439257342
GRHL2,-1.37207058093094,0.16269199104587
HBP1,-1.43582571836943,0.348990905687289
HIF1A,-1.80756589166018,0.975148615651263
HINFP,-0.28278858098429,1.02331715499294
HMBOX1,-0.268923813425597,-0.0992364506493348
HNF1B,-0.152693300417743,0.972976373033761
HNF4A,0.494677952223529,-0.997419870851613
HNF4G,0.72573779717102,-0.501454073740722
HOXA9,0.294689930453644,-0.493621885096943
HOXB13,0.888965018892706,-0.950561151285563
HSF1,0.825019076081719,0.37845264150947
IKZF1,0.532353976084976,-0.0718105473412373
IRF1,-1.26333385580507,0.762848855734432
IRF2,-3.26247352213695,3.26166366843453
IRF3,-1.66822566715114,0.682216285749106
IRF4,1.08937773245006,-0.291308398775637
IRF9,-1.4765253155241,3.0490948264815
JUN,-0.576042583365548,2.12677984602876
JUNB,-0.231119702719194,1.36923841882697
JUND,-0.544783534602179,1.34966774582305
KDM5B,-0.143628060762286,1.24954892387818
KLF1,0.133871395368455,0.0924706693662862
KLF13,1.15648056153967,-1.42952327370003
KLF3,-2.41096494395563,1.85163418462226
KLF4,1.24108503800151,-0.268606762639886
KLF5,0.597864122576705,0.810810817710109
KLF6,-0.541111606426579,2.16685865538354
KLF9,-1.96848579193582,0.102520042616662
KMT2A,-0.297288234405277,-0.48684160166784
LEF1,-2.48567350938593,0.670020448246606
LHX2,1.20559115096321,0.57138588154602
LYL1,-1.34729519232677,2.00999104361294
MAF,-1.94296308640959,0.375071902806296
MAFB,1.14547172799628,-1.14820638164127
MAFF,-0.819767977949916,0.288511237553816
MAFG,-1.43491596083295,-1.59434690456177
MAFK,-0.714675298113182,-1.21678950723585
MAX,-2.26538019115284,-0.362162707317909
MAZ,0.0991695404250064,0.771713285268704
MBD1,2.20127722057216,-1.4307217620395
MEF2A,-0.855549068678117,-0.158985669985681
MEF2B,0.272742662346363,0.595924315950183
MEF2C,-2.31741587631616,1.08492891993617
MEIS1,1.95989221270219,-1.1630036557018
MEIS2,1.05007477821604,-0.820250952300747
MIER1,0.148399128546701,0.173895238329595
MITF,-0.579002564158881,1.32834400553499
MNT,2.05162288332071,-1.09054315894156
MTA1,-1.64379869978208,2.63390579286988
MTA2,-0.792020208021916,0.366613808246875
MTA3,-1.74647586856114,1.24682071853906
MXI1,1.45676853000217,-0.793548674014939
MYB,-0.976146838335252,0.393956020220729
MYBL2,0.528721667188399,0.998959778144113
MYC,-4.06481581657966,3.54923036856133
MYCN,-1.07611548367589,0.753395508185874
MYOD1,0.916829424285575,0.0751782874411802
NANOG,0.4888986265951,0.582393119030738
NCOA1,0.392941839989054,-1.26909236047988
NCOA2,0.735243782629569,0.805459748015045
NCOA3,0.605554341443566,0.15601900841648
NCOR1,-0.181881247075008,0.887688430383526
NCOR2,2.08611672079236,-0.902603788097899
NEUROD1,-0.289287852269643,0.114583963356407
NFATC1,-1.30643473602962,-0.299283957030561
NFE2,-0.47342380282787,0.767670079035812
NFE2L1,-0.0873682350264432,-1.96243660755772
NFE2L2,-0.253616568642336,1.15516064588604
NFIC,0.0288963686719321,-0.393602723592997
NFKB1,-3.24502520168424,3.77725120247502
NFKB2,0.981812737705326,-1.09658505740034
NFYA,0.097959834835441,0.406573586264394
NFYB,-2.3918815022149,1.38358643826792
NONO,-1.58163822953222,1.02486632830847
NR1H2,-1.81023838035512,0.659395709334052
NR1H3,-1.8918492787691,-0.13147733753379
NR2C2,-1.5288556224827,2.29830977028283
NR2F1,-1.16195920581924,1.78592868341609
NR2F6,0.519967312264713,-1.34532293649612
NR3C1,0.709253070848448,-1.89881893772392
NR4A1,-0.9575413035388,0.878779963948205
NR5A2,-1.43820500674029,-0.60937286745979
NRF1,0.015066177782245,0.859406929656463
ONECUT1,1.06435019754586,-0.260250971525175
OTX2,1.23213157732439,-1.05635420398723
PAX5,-0.667466471025618,-0.397323274170003
PAX6,-0.0723513530219648,0.650838344771396
PBX2,-1.266195743388,-0.382450558107196
PBX3,-0.606152648654567,1.1024764489571
PDX1,0.976004686098832,-1.40671071300888
PKNOX1,-0.710766207386755,0.762364366316853
POU2F1,-0.630390559147779,1.95101456817987
POU2F2,0.649569353927193,-0.718853805367214
POU4F2,-0.316982252085097,0.903336931577614
POU5F1,1.65559010657326,-0.027606064007676
PPARA,-2.88030892004316,0.20448178064647
PPARG,0.916910374978841,-0.097958527321888
PRDM1,0.232072814374807,0.959011060688724
PRDM14,-0.862154180787122,1.96431800487469
PROX1,0.0397136130233681,-0.0868556457218798
RARA,-1.09897336593861,-0.144785114658439
RBPJ,-1.64687138081825,1.61551057943015
RCOR1,-0.935105155352863,0.120768765930029
REL,-0.980326817370819,1.82328035551187
RELA,-3.61006373351579,2.66088705029909
RELB,-2.90208610199138,1.41051145685346
RFX1,0.456246384146586,0.77308329575836
RFX2,1.59921189801319,-1.71075393972909
RUNX1,-0.748320226456251,0.366007306827746
RUNX2,0.0275532562834148,-0.813274306486129
RUNX3,-0.0439490493278599,1.01109207264316
RXRA,-1.04058051776739,0.240129611267853
SIX2,1.90363404400964,-0.788162263935372
SIX5,-0.735317369835075,-0.178383779320076
SMAD1,1.11079846888671,-1.34153713163693
SMAD2,0.0654699882362803,-0.952658794089938
SMAD3,-1.17451627943268,0.0298532615459094
SMAD4,-1.92656676124888,0.147487110263205
SMAD5,-0.56233898003624,1.02124257638918
SMARCC2,-0.794206811297166,0.444040800772459
SNAI2,0.942652559597555,-1.76829232267563
SNAPC4,-1.56235607365312,1.34685371171277
SOX11,-1.09310675711591,0.4731571297222
SOX13,1.30067924743135,-0.023941479166998
SOX2,1.48432477184369,-0.667750971874676
SOX6,-0.455380741915552,0.253065705829046
SOX9,-0.641536218551264,0.309268470807054
SP1,-1.91339048858927,2.54650518537387
SP2,-0.161627550377026,0.239772476380102
SP3,-0.770054791336465,2.09865231183237
SP4,-0.867347698637428,1.39805087496099
SPI1,-0.896781299528853,1.2069783650278
SPIB,-0.597973567101802,-0.9858450659709
SREBF1,-1.80966473067055,1.49939072896549
SREBF2,-2.24766628696551,3.44279350120809
SRF,-0.309097207840616,0.257129253326684
SSRP1,-1.39687766414123,2.09116344198865
STAT1,-0.195486029312187,-0.326421220521792
STAT2,-0.726414186010308,2.91571570822801
STAT3,-1.33685841695661,1.34951917862217
STAT4,0.0412803671575062,-0.0750703304870216
STAT5A,-0.605949910417233,-0.149238581722424
STAT5B,-1.0059622216203,0.628855323485007
T,-0.607071827581947,0.171965461565506
TAF1,-1.76684253876296,0.748930259709631
TAL1,0.385325772555163,-0.99424045565594
TBP,-1.46196827375545,-1.6393059364062
TBX21,-1.07731701451966,1.01302270952478
TCF12,0.201813495715286,0.576150480056471
TCF25,-1.38412686846328,0.542434289730805
TCF3,0.24786593055708,-0.0280155916747422
TCF4,-2.46099942860956,0.887266019193005
TCF7,-0.403156854285126,1.37246041315737
TCF7L2,-1.46214632362932,0.943542346371171
TEAD1,-0.579719271179443,0.620286141298946
TEAD2,-0.972499077892648,0.171204814321484
TEAD4,0.0939046359707626,-0.25937662250938
TFAP2A,-0.241313125017679,-0.889087518742646
TFAP2C,0.211372395943943,1.0413424438786
TFAP4,-0.310891210751688,0.221493908015432
TFDP1,-1.89099186779374,1.72107789617568
TGIF2,0.299150660406768,-1.43131729536955
THAP1,-1.26951594599278,1.67522536952111
THAP11,-0.991036483392764,1.44899616764105
TP53,0.959803099577751,0.3035357176699
TP63,0.157598961726179,-0.636593764507246
TP73,0.786032292247168,-0.226013922083129
TWIST1,0.327145236412611,0.896206990245432
UBTF,-1.47997259986424,0.169398191732284
USF1,-0.515782324364435,1.01107420770639
USF2,0.525970404310573,0.131715563209378
VDR,-0.691982070880182,-0.769665314180149
WT1,-1.2058820222274,0.405970145597303
XBP1,-1.88694591501554,0.226164825694294
YY1,1.48160542789521,0.374819974044377
ZBED1,-1.07812046324489,0.809007265977161
ZBTB11,-1.53257582930161,0.234840558014059
ZBTB33,1.006804458604,-0.189195389274711
ZBTB7A,1.78191035176793,0.131259642939852
