,t,m
ZEB1,0.0920154252951381,-0.421011113644538
ZEB2,-0.731933254154265,0.579738663239867
ZFX,-1.9154780833354,0.0300568641515789
ZKSCAN1,-0.806649612519552,0.206638818153272
ZNF143,-1.13653895867724,-0.847796310550041
ZNF217,-0.183688174990477,-0.133434153006217
ZNF24,-0.667965803027917,-0.366216409344261
ZNF263,2.07896841964953,-2.6551411120237
ZNF274,1.33931718585148,-0.792669649200397
ZNF384,0.350819610663138,-0.31601333606508
ZNF592,0.00951256382913642,-1.70806838597884
ZNF639,0.859216775136706,-0.862265694355758
ZNF740,0.889799825762742,0.178440646719379
