,t
SPIB,0.959832305683076
SREBF1,1.205803838657
SREBF2,2.56263708368672
SRF,0.868860311409284
SSRP1,2.02990191881625
STAT1,1.61108447266683
STAT2,3.55669193757593
STAT3,1.84758377940362
STAT4,0.957708994994942
STAT5A,0.185809652109342
STAT5B,-0.0142154264121667
T,2.02650396867123
TAF1,2.44901672749022
TAL1,-1.66689421902446
TBP,0.544125825167068
TBX21,2.5742948780582
TCF12,-0.373610446094339
TCF25,0.415713520169811
TCF3,-0.298194382289755
TCF4,1.7330342843331
TCF7,2.40347673216798
TCF7L2,1.30921518042594
TEAD1,1.21017467960614
TEAD2,-0.141070572987399
TEAD4,-0.795103507809056
TFAP2A,2.02069094900543
TFAP2C,1.30242541695546
TFAP4,0.866474421411596
TFDP1,2.20583089320028
TGIF2,-1.22918931722421
THAP1,1.71541126359041
THAP11,2.48119671253156
TP53,0.128188116567699
TP63,1.288782096676
TP73,0.190646472295154
TWIST1,-0.0431180805071339
UBTF,1.62567258984684
USF1,0.539999044161993
USF2,-0.0183790578943405
VDR,0.386096446878321
WT1,1.27437105315744
XBP1,1.90236163162261
YY1,0.151914738170315
ZBED1,2.65106731124028
ZBTB11,0.898421088326948
ZBTB33,-0.537321276449771
ZBTB7A,-1.51473171573861
ZEB1,-1.08037536421331
ZEB2,-0.731409531305025
ZFX,0.952987630915789
ZKSCAN1,1.80858957878798
ZNF143,0.581590328940992
ZNF217,-0.167765300553022
ZNF24,-1.01889596794203
ZNF263,-4.96077979129445
ZNF274,-0.839195289579773
ZNF384,0.17012540244151
ZNF592,-0.257713945188575
ZNF639,-2.00919661754878
ZNF740,0.0334813490979426
