"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"101F10.2","57020",-0.121603279531948,10.1867431401545,-1.47984993149946,0.152574261804367,0.23004637939607,-5.94773629663329
"101F6","11068",-0.142388239729594,7.30496780149344,-1.36196150307212,0.186491635736821,0.270195286246663,-6.10701900415097
"12LO","239",0.108044328509619,8.46817151835921,0.820541722999463,0.420388321657106,0.519498619021721,-6.68676033558145
"15E1.1","51499",0.568731737760951,7.40289859665089,5.48587643517138,1.44229310143503e-05,0.000143678747695521,2.86939041354502
"15E1.2","283459",0.176306118781563,9.52346511433716,1.93494709505094,0.0654744649579175,0.11588703665389,-5.23592088922539
"199G4","55696",0.273343964155931,9.54731696836779,3.07678138775477,0.0053604563883458,0.0147329256295022,-2.93480297962382
"1A13B","4077",0.236321848930061,11.3854929614803,2.00387871692767,0.0570826484585188,0.103803824630016,-5.11588037328136
"1R20","5996",1.97243063432641,8.12814545996193,3.66336920836497,0.00130359283003182,0.00469925141786154,-1.57434383174852
"1R21","3399",-0.237933583669831,9.88363774016128,-0.897736367499216,0.378691465511649,0.477988379280046,-6.620237698935
"2-19","60343",-0.365703806608423,8.93939910247604,-3.94496508193424,0.00065155501918609,0.00270812124031942,-0.898571537285059
"2.19","60343",-0.365703806608423,8.93939910247604,-3.94496508193424,0.00065155501918609,0.00270812124031942,-0.898571537285059
"3'EXO","90459",0.335497003366889,8.38187868338698,2.59203315203323,0.0163490924110369,0.0368955489213632,-3.98348600412178
"3BP2","6452",0.858023845194387,11.8402276461062,3.02891033359435,0.00600006309824662,0.0161588571241732,-3.04197343618397
"3OST","9957",0.0929064801585238,7.31829219452031,0.359988099871597,0.722163153073349,0.790328285011319,-6.96344626762262
"3OST1","9957",0.0929064801585238,7.31829219452031,0.359988099871597,0.722163153073349,0.790328285011319,-6.96344626762262
"3OST2","9956",1.60500125067461,6.68928358918757,4.81081312075425,7.5903254711165e-05,0.000499712122310602,1.2189072477075
"3OST3A1","9955",-1.21416003317774,7.10098553422913,-3.57408999148239,0.00162169452273647,0.00559509213425268,-1.78610428778471
"3OST3B1","9953",-1.15573603057454,7.77185705176668,-4.4337183963853,0.000193659263854205,0.00103940047919592,0.292969793481952
"44M2.3","81691",0.385860830512224,7.04320620242744,3.23951833645152,0.00364143434634709,0.0107288531111418,-2.56554487424434
"4P11","9946",0.146777334795642,8.62951307149969,1.60731280079744,0.121722125860893,0.191381838194681,-5.76337128741803
"4SPAN1","51338",1.90678792511747,7.65962463171928,4.97807867120206,5.01715442042057e-05,0.000368905686922287,1.62947754367131
"4SPAN2","58475",2.41662662787366,9.13199201627225,7.39383946675183,1.68365447531581e-07,5.91657739349943e-06,7.31813683357246
"4SPAN3","64231",2.44362786976689,8.95737394730443,6.46844058444886,1.38158255492035e-06,2.64662005917894e-05,5.21185573610119
