"","X06h_post_infection","X12h_post_infection","X18h_post_infection","X24h_post_infection","X48h_post_infection"
"ACOX3",-1.57120834525228,-1.67716060885886,-1.8644902878962,-0.713032703394108,0.282057453857014
"CHST15",-1.48747788465545,-0.832648095083208,-1.15602724708998,-0.271463494417605,0.871499704732927
"DDB2",-1.4513584256169,-0.883958976807894,-1.0605854190041,0.42627168251629,1.44662961919775
"DUSP6",1.48355747198956,1.81852898218915,1.53077787819676,0.628304453156115,-0.614252204250052
"F3",-1.3184642769359,-0.420481754354369,-0.763788759948301,-0.64051099692999,-0.327403966518741
"FHL2",-1.35690484334011,-1.2904008148816,-1.19964275754707,-0.520715640300091,2.28003432016189
"JUNB",-1.55044700058498,-0.386194616772509,-0.355812966421828,0.378400381296869,0.584113951044472
"MAP3K8",-1.34511687177386,-0.556123152307077,-0.653061057449022,-0.555536978919886,-0.170456997739544
"NR1H4",1.35578122090625,1.00643295371537,0.993905366756848,0.138917840863481,-0.327705198779133
"NUAK1",-1.2715729602773,-0.055850408582268,-1.0200081597904,-0.50205828177373,0.195799679875703
"PGM2L1",-1.48414258011236,-1.28555169658905,-1.35247258624047,-0.466980049037375,0.220731708793014
"PLAU",1.39813456878121,0.453430144160823,0.747637875917442,-1.57132558305823,-1.94775005351784
"PTHLH",-1.26502007025021,-0.338573437734831,-1.04451649856814,0.194428746898346,0.672024942656666
"TCIM",-1.61473155275644,0.161562558106371,-0.928946603623551,-0.0767198998538285,0.633511363104781
"KLF7",-1.2913478638849,-0.571965003372418,-0.694263928793651,0.731639667842909,1.98002850929476
"UACA",-1.18807311603091,-1.22758472945994,-1.57694070109963,-0.475463571914127,0.227992839385884
"HEY1",-1.13335073939857,-0.983924647038623,-0.278743258035304,-0.781267987605838,-0.806761793730461
"PAG1",1.28062223571739,1.01817451851687,0.871549123446883,0.768337700597471,0.503084313101998
"TNFAIP3",-1.24941456128959,0.21995673284462,-0.378832496554539,-0.19998262984572,0.0944676501684567
"ZCCHC24",-1.16305824638157,-1.08876151749845,-1.11428505163544,-1.35065692447855,-0.386153222320706
"DZIP1",-1.21053477770179,-0.171859139280271,-0.860306746530874,-0.234454648202944,0.0368344460609431
"IER3",-1.3660091158096,-0.326160797617908,-0.189375683500106,-0.75494685343515,-0.362323515334381
"NPNT",-1.17290844321163,-1.45421706547286,-1.7964411769086,-1.05303658233847,0.327421933439838
"SIPA1L2",-1.11638985092984,-0.596102620337692,-0.92629996236605,0.119478312891226,0.266658904179717
"TGFB1I1",-1.56283542956519,-1.67727332178594,-2.48214427123844,-1.39017723585432,2.50723161039425
"ZNF597",-1.25314535843428,-0.259901991505703,-0.247733240747073,0.678100776204476,1.32954908058424
"CCR6",1.70556073557853,0.920271955812916,1.0731732560225,0.0274268261240902,-0.0714146875666328
"DUSP5",1.16679139165403,0.572867234674639,1.18307534661623,-0.627191223325879,-0.958060948687192
"CA2",1.05364582359008,0.890453021304703,0.829203970445176,-0.147779815693964,-1.20088536100056
"CLDN2",1.03408085580203,0.348166324858353,0.324080854749077,-0.358303273690437,-0.945378077571507
"GAS2L3",1.07628054155656,0.807254110522948,0.570517021772476,-0.0408019998431595,-0.975756008390269
"LBH",-1.34480489611699,-0.283711654687404,-0.919691881449585,-0.775794405140683,-0.328477037880693
"P2RY2",-1.0948215602105,-0.335240085817038,-0.509668785697086,-0.441686983783166,0.184018035255204
"PRR15L",1.00056547624015,-0.0398290884696335,-0.121044402917983,-0.220909662607114,-0.488486299897063
"THBS1",-1.00409354859959,-0.793584203053076,-0.763839022666839,-0.378356766607879,0.367331732154748
"TNFRSF19",-1.09916840813693,-0.39363454539126,-1.15859833912228,0.00894390844479354,-0.783085200764925
"CXCR4",-1.10925245215148,-0.886207242364875,-0.682659124969352,-0.945045170943901,0.374977759773863
"CYP1A1",1.1055733528605,2.07533373017296,1.19694204726296,2.35427843145022,1.36247719680864
"PRKAR2B",-1.1785117519859,-0.410434471662676,-0.128837006979126,-0.64202903074189,0.381712309253441
"RASSF9",1.11337580677043,1.89906166502918,1.22187211764439,1.7116352190406,1.87274909773854
"TNS1",-1.01460057011648,-0.688883391799186,-0.759284954154121,-0.207361875604549,0.165533382886055
"ANGPTL2",-1.042457844172,-1.34513039758732,-1.48203236167193,-1.08773649098586,-0.767552681992424
"IFIT1",1.02782875319263,-0.222413212521272,0.0940993140109576,-0.787913271015555,-0.808434724189542
"RND1",-1.30006588917516,-0.0184208406346897,-0.328456016573149,0.451932818134671,0.319536299254326
"COL1A1",-0.954226170664168,-0.540238522594499,-1.30678511473898,-0.737310208657338,-0.139801408195412
"WNT11",-0.996568542596741,-0.585439322903908,-0.731787460095478,-0.0888180427661833,0.803221230856761
"METRNL",-0.929926802044159,-0.617780190370138,-0.266503551887607,-0.270790261662071,0.669109422437177
"TNFRSF11B",0.978602340160219,0.512603492627813,0.39449544045565,-0.222035547503731,-0.673179697923756
"NEDD9",-0.910649387308284,-0.203628902007239,-0.602191649860496,0.168128196090392,0.686221011634634
"HAO2",-0.96546970314466,-1.1765725047819,-1.12481348531268,-0.576281462882467,-0.297925871582114
"HSPA2",-0.994695657012729,-2.34758789052996,-1.06446250266375,-1.41132958461301,-0.844092666432138
"AGTR1",1.06583070958717,0.735976894855357,0.935294610125571,0.0140952152672744,0.166637876817209
"PRAG1",-0.931668792872768,-0.406911504668189,-0.639405328326356,-0.24618787734102,0.609349285034613
"SPRY1",1.05553383777043,0.984766139940684,0.750281994640102,0.584788259110096,-0.118608807075335
"TGFB2",-1.05351801015221,-0.599280784360116,-1.01197810177986,0.263322856518842,0.807914450395021
"VSNL1",0.889398910804352,-0.0089503786223073,0.0757443440059085,-0.832972021689965,-1.28434205144095
"BHLHE40",-0.904833184299967,-0.500105400166321,0.0220820405393187,0.997652324629772,2.19177854350329
"CNN1",-1.25957508459998,-2.04411166492955,-2.53419664654875,-1.43181577608568,0.885768329572553
"INHBE",-0.90432843078055,2.81449201768192,1.26471688517179,4.50213797227493,4.27023191160373
"SUSD4",-1.08306544819844,-0.99420922205755,-1.67784843581293,-0.817495814419731,0.331096426176096
"RASSF2",-0.907065624750012,-0.625984312952638,-0.4677771479989,-0.0920512629308741,0.222685802848731
"CYP39A1",0.882963062975263,0.582115727008131,0.556325480825731,-0.488049946302819,-0.808597819240218
"CYR61",-0.906609296726355,-0.165425959320999,-0.692555267478133,-0.0146281273589874,0.585145967673295
"LOC100506563",-0.980209077314035,-0.546073631251187,-1.04873815764009,-0.0260297780915622,-0.243238615974677
